config,sample_id,question,vision_encoder_ms,projection_ms,decoder_ms,total_ms,peak_vram_mb,tokens_generated,response_text,expected,exact_match
vision_fp16_decoder_4bit,10,Describe this image in detail (variation 0),654.33,-0.19,5394.76,6048.89,7940.3,50,"The image shows a fluffy white dog sitting on a grassy area. The dog has a thick, long coat that appears soft and well-groomed. Its ears are upright and pointed, and it has a friendly expression with its mouth slightly open,",N/A,0
vision_fp16_decoder_4bit,11,Describe this image in detail (variation 1),665.07,-0.27,5539.26,6204.07,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are pointed and stand upright, giving it an alert expression. The dog's mouth is",N/A,0
vision_fp16_decoder_4bit,12,Describe this image in detail (variation 2),650.95,-0.21,5314.88,5965.62,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
vision_fp16_decoder_4bit,13,Describe this image in detail (variation 3),670.93,-0.29,5527.79,6198.43,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
vision_fp16_decoder_4bit,14,Describe this image in detail (variation 4),656.49,-0.22,5339.92,5996.18,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
vision_fp16_decoder_4bit,15,Describe this image in detail (variation 5),671.96,-0.23,5602.94,6274.67,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
vision_fp16_decoder_4bit,16,Describe this image in detail (variation 6),659.38,-0.21,5420.17,6079.33,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
vision_fp16_decoder_4bit,17,Describe this image in detail (variation 7),685.49,-0.23,5493.5,6178.76,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
vision_fp16_decoder_4bit,18,Describe this image in detail (variation 8),656.45,-0.27,5490.33,6146.5,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
vision_fp16_decoder_4bit,19,Describe this image in detail (variation 9),684.61,-0.25,5473.1,6157.46,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are pointed and stand upright, giving it an alert expression. The dog's mouth is",N/A,0
vision_fp16_decoder_4bit,20,Describe this image in detail (variation 0),628.12,-0.22,5363.27,5991.18,7848.6,50,"The image depicts a scene on a city street where a modern electric bus is parked or moving slowly. The bus is predominantly blue with white and green accents, featuring the logo ""electricamEMTe"" and the phrase ""cero emisiones,""",N/A,0
vision_fp16_decoder_4bit,21,Describe this image in detail (variation 1),664.89,-0.23,5353.72,6018.38,7848.6,50,"The image depicts a scene on a city street where a modern electric bus is parked or moving slowly. The bus is predominantly blue with white and green accents, featuring the logo ""electricamEMTe"" and the phrase ""cero emisiones,""",N/A,0
vision_fp16_decoder_4bit,22,Describe this image in detail (variation 2),633.12,-0.25,5415.08,6047.95,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
vision_fp16_decoder_4bit,23,Describe this image in detail (variation 3),660.5,-0.33,5349.38,6009.55,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
vision_fp16_decoder_4bit,24,Describe this image in detail (variation 4),632.48,-0.26,5320.07,5952.29,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
vision_fp16_decoder_4bit,25,Describe this image in detail (variation 5),642.12,-0.27,5496.61,6138.46,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
vision_fp16_decoder_4bit,26,Describe this image in detail (variation 6),635.09,-0.22,5376.32,6011.2,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
vision_fp16_decoder_4bit,27,Describe this image in detail (variation 7),659.16,-0.28,5492.73,6151.6,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
vision_fp16_decoder_4bit,28,Describe this image in detail (variation 8),639.97,-0.24,5401.02,6040.74,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
vision_fp16_decoder_4bit,29,Describe this image in detail (variation 9),639.25,-0.27,5505.64,6144.62,7848.6,50,"The image depicts a scene on a city street where a modern, electric bus is parked or moving along the road. The bus is predominantly blue with white and green accents, featuring the logo ""electricamEMTe"" and the phrase ""cero em",N/A,0
vision_fp16_decoder_4bit,30,Describe this image in detail (variation 0),662.97,-0.22,5459.53,6122.28,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be a discussion or giving instructions during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,31,Describe this image in detail (variation 1),669.33,-0.3,5501.33,6170.36,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,32,Describe this image in detail (variation 2),663.36,-0.18,5504.02,6167.2,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,33,Describe this image in detail (variation 3),692.69,-0.22,5499.06,6191.53,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,34,Describe this image in detail (variation 4),668.18,-0.19,5611.09,6279.08,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,35,Describe this image in detail (variation 5),682.83,-0.25,5506.47,6189.05,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,36,Describe this image in detail (variation 6),654.57,-0.25,5613.68,6268.0,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in a discussion or giving instructions on the sidelines of a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark tie",N/A,0
vision_fp16_decoder_4bit,37,Describe this image in detail (variation 7),693.71,-0.31,5492.6,6186.0,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,38,Describe this image in detail (variation 8),670.99,-0.3,5708.74,6379.42,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,39,Describe this image in detail (variation 9),683.29,-0.28,5449.58,6132.59,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
vision_fp16_decoder_4bit,40,Describe this image in detail (variation 0),136.92,-0.15,4363.37,4500.13,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
vision_fp16_decoder_4bit,41,Describe this image in detail (variation 1),136.48,-0.14,4873.01,5009.36,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
vision_fp16_decoder_4bit,42,Describe this image in detail (variation 2),138.36,-0.15,4294.56,4432.77,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
vision_fp16_decoder_4bit,43,Describe this image in detail (variation 3),136.89,-0.16,4603.22,4739.95,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
vision_fp16_decoder_4bit,44,Describe this image in detail (variation 4),149.71,-0.25,4365.36,4514.82,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
vision_fp16_decoder_4bit,45,Describe this image in detail (variation 5),136.91,-0.15,4256.68,4393.45,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
vision_fp16_decoder_4bit,46,Describe this image in detail (variation 6),137.46,-0.17,4940.0,5077.29,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
vision_fp16_decoder_4bit,47,Describe this image in detail (variation 7),143.9,-0.17,4302.73,4446.46,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
vision_fp16_decoder_4bit,48,Describe this image in detail (variation 8),138.92,-0.26,4263.95,4402.6,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
vision_fp16_decoder_4bit,49,Describe this image in detail (variation 9),139.79,-0.25,4778.08,4917.61,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
