config,sample_id,question,vision_encoder_ms,projection_ms,decoder_ms,total_ms,peak_vram_mb,tokens_generated,response_text,expected,exact_match
qwen7b_nf4,13,Describe this image in detail (variation 3),666.51,-0.28,5380.77,6047.0,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
qwen7b_nf4,14,Describe this image in detail (variation 4),652.01,-0.26,5670.54,6322.29,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
qwen7b_nf4,15,Describe this image in detail (variation 5),662.88,-0.22,5476.72,6139.38,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
qwen7b_nf4,16,Describe this image in detail (variation 6),679.05,-0.24,5640.83,6319.64,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
qwen7b_nf4,17,Describe this image in detail (variation 7),666.87,-0.21,5527.75,6194.4,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
qwen7b_nf4,18,Describe this image in detail (variation 8),697.75,-0.32,5492.19,6189.62,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are perked up, giving it an alert and attentive expression. The dog's mouth",N/A,0
qwen7b_nf4,19,Describe this image in detail (variation 9),658.56,-0.25,5553.75,6212.06,7940.3,50,"The image shows a fluffy white dog sitting on a lush green lawn. The dog has a thick, long coat that appears soft and well-groomed. Its ears are pointed and stand upright, giving it an alert expression. The dog's mouth is",N/A,0
qwen7b_nf4,20,Describe this image in detail (variation 0),659.17,-0.24,5338.38,5997.32,7848.6,50,"The image depicts a scene on a city street where a modern electric bus is parked or moving slowly. The bus is predominantly blue with white and green accents, featuring the logo ""electricamEMTe"" and the phrase ""cero emisiones,""",N/A,0
qwen7b_nf4,21,Describe this image in detail (variation 1),626.53,-0.23,5439.89,6066.19,7848.6,50,"The image depicts a scene on a city street where a modern electric bus is parked or moving slowly. The bus is predominantly blue with white and green accents, featuring the logo ""electricamEMTe"" and the phrase ""cero emisiones,""",N/A,0
qwen7b_nf4,22,Describe this image in detail (variation 2),657.75,-0.23,5452.51,6110.02,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
qwen7b_nf4,23,Describe this image in detail (variation 3),634.29,-0.23,5438.18,6072.25,7848.6,50,"The image depicts a scene on a city street where a modern, electric bus is parked or moving along the road. The bus is predominantly blue with white and green accents, featuring the logo ""electricamEMTe"" and the phrase ""cero em",N/A,0
qwen7b_nf4,24,Describe this image in detail (variation 4),667.23,-0.26,5440.29,6107.26,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
qwen7b_nf4,25,Describe this image in detail (variation 5),634.79,-0.19,5460.23,6094.83,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
qwen7b_nf4,26,Describe this image in detail (variation 6),656.61,-0.26,5527.31,6183.66,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
qwen7b_nf4,27,Describe this image in detail (variation 7),635.3,-0.21,5671.0,6306.09,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
qwen7b_nf4,28,Describe this image in detail (variation 8),658.68,-0.3,5509.87,6168.24,7848.6,50,"The image depicts a scene on a sunny day in an urban setting, likely in Madrid, Spain, as indicated by the bus signage. The main focus is a blue electric minibus with the branding ""cero emisiones"" (zero emissions)",N/A,0
qwen7b_nf4,29,Describe this image in detail (variation 9),651.0,-0.27,5663.31,6314.05,7848.6,50,"The image depicts a scene on a city street where a modern electric bus is parked or moving along the road. The bus is predominantly blue with white and green accents, featuring the logo ""electricamEMTe"" and the phrase ""cero emision",N/A,0
qwen7b_nf4,30,Describe this image in detail (variation 0),684.83,-0.38,5543.03,6227.48,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be a discussion or giving instructions during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,31,Describe this image in detail (variation 1),660.69,-0.2,5908.32,6568.81,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,32,Describe this image in detail (variation 2),685.8,-0.2,5529.49,6215.08,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,33,Describe this image in detail (variation 3),654.64,-0.23,6171.78,6826.19,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,34,Describe this image in detail (variation 4),656.02,-0.2,5542.8,6198.62,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,35,Describe this image in detail (variation 5),654.27,-0.18,6185.09,6839.18,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,36,Describe this image in detail (variation 6),666.93,-0.19,5577.75,6244.49,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in a discussion or giving instructions on the sidelines of a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark tie",N/A,0
qwen7b_nf4,37,Describe this image in detail (variation 7),668.69,-0.19,6136.53,6805.03,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,38,Describe this image in detail (variation 8),670.14,-0.22,5571.19,6241.12,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,39,Describe this image in detail (variation 9),652.79,-0.25,5891.94,6544.49,7905.6,50,"The image shows two men dressed in formal attire, likely coaches or managers, engaged in what appears to be an intense discussion or instruction during a sports event. The man on the left is bald and wearing a black suit with a white shirt and a dark",N/A,0
qwen7b_nf4,40,Describe this image in detail (variation 0),140.15,-0.15,4387.33,4527.32,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
qwen7b_nf4,41,Describe this image in detail (variation 1),140.27,-0.15,4901.79,5041.91,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
qwen7b_nf4,42,Describe this image in detail (variation 2),137.6,-0.17,4305.12,4442.55,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
qwen7b_nf4,43,Describe this image in detail (variation 3),137.82,-0.14,4326.76,4464.44,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
qwen7b_nf4,44,Describe this image in detail (variation 4),136.76,-0.15,4917.45,5054.07,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
qwen7b_nf4,45,Describe this image in detail (variation 5),138.6,-0.15,4300.93,4439.38,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
qwen7b_nf4,46,Describe this image in detail (variation 6),138.12,-0.2,4577.58,4715.5,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
qwen7b_nf4,47,Describe this image in detail (variation 7),144.4,-0.2,4516.69,4660.89,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
qwen7b_nf4,48,Describe this image in detail (variation 8),138.06,-0.14,4358.59,4496.5,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The bus has a bright red body with a light blue window on the front side",N/A,0
qwen7b_nf4,49,Describe this image in detail (variation 9),138.85,-0.18,4955.62,5094.28,7487.5,50,"The image depicts a stylized, cartoon-like representation of a red bus. The bus is depicted from a side angle, showing its length and the arrangement of its windows. The windows are rectangular and evenly spaced along the side of the bus. The bus",N/A,0
